sku,store_view_code,form_factor
D1U4-W-1200-12-HA1C,default,1U x 101.60 x 355.60
D1U4-W-1200-12-HA2C,default,1U x 101.60 x 355.60
D1U4-W-1200-12-HC1C,default,1U x 101.60 x 355.60
D1U4-W-1200-12-HC2C,default,1U x 101.60 x 355.60
D1U4-W-1600-12-HA1C,default,1U x 101.60 x 355.60
D1U4-W-1600-12-HA2C,default,1U x 101.60 x 355.60
D1U4-W-1600-12-HC1C,default,1U x 101.60 x 355.60
D1U4-W-1600-12-HC2C,default,1U x 101.60 x 355.60
4401706-1,default,1U x 101.60 x 355.60
4401699-6,default,1U x 101.60 x 355.60
4401707-5,default,1U x 101.60 x 355.60
4401708-2,default,1U x 101.60 x 355.60
4401843,default,1U x 101.60 x 355.60
4401793-3,default,1U x 101.60 x 355.60
D1U-W-1200-12-HA1C,default,1U x 120.65 x 304.80
D1U-W-1200-12-HA2,default,1U x 120.65 x 304.80
D1U-W-1200-12-HA2C,default,1U x 120.65 x 304.80
D1U-W-1200-12-HC1C,default,1U x 120.65 x 304.80
D1U-W-1200-12-HC2,default,1U x 120.65 x 304.80
D1U-W-1200-12-HC2C,default,1U x 120.65 x 304.80
D1U-W-1200-48-HA1C,default,1U x 120.65 x 304.80
D1U-W-1200-48-HA2C,default,1U x 120.65 x 304.80
D1U-W-1200-48-HB1C,default,1U x 120.65 x 304.80
D1U-W-1200-48-HB2C,default,1U x 120.65 x 304.80
D1U-W-1200-48-HC1C,default,1U x 120.65 x 304.80
D1U-W-1200-48-HC2C,default,1U x 120.65 x 304.80
D1U-W-1600-12-HA1C,default,1U x 120.65 x 304.80
D1U-W-1600-12-HA2C,default,1U x 120.65 x 304.80
D1U-W-1600-12-HC1C,default,1U x 120.65 x 304.80
D1U-W-1600-12-HC2C,default,1U x 120.65 x 304.80
D1U-W-1600-48-HA1C,default,1U x 120.65 x 304.80
D1U-W-1600-48-HA2C,default,1U x 120.65 x 304.80
D1U-W-1600-48-HB1C,default,1U x 120.65 x 304.80
D1U-W-1600-48-HB2C,default,1U x 120.65 x 304.80
D1U-W-1600-48-HC1C,default,1U x 120.65 x 304.80
D1U-W-1600-48-HC2C,default,1U x 120.65 x 304.80
D1U-W-2000-48-HA2C,default,1U x 120.65 x 304.80
D1U-W-2000-48-HB2C,default,1U x 120.65 x 304.80
D1U-W-2000-48-HC2C,default,1U x 120.65 x 304.80
4401570,default,1U x 120.65 x 304.80
C1U-W-1200-48-TB1C,default,1U x 127 x 361.20
C1U-W-1200-48-TB2C,default,1U x 127 x 361.20
C1U-W-1200-48-TC1C,default,1U x 127 x 361.20
C1U-W-1200-48-TC2C,default,1U x 127 x 361.20
D1U-H-2800-52-HB1C,default,1U x 140 x 289
D1U-H-2800-52-HB1DC,default,1U x 140 x 289
4401876-1,default,1U x 54.5 x 228.6
4401877-1,default,1U x 54.5 x 228.6
4401878-1,default,1U x 54.5 x 228.6
4401879-1,default,1U x 54.5 x 228.6
4401910-1,default,1U x 54.5 x 228.6
8401908-1,default,1U x 54.5 x 228.6
8401909-1,default,1U x 54.5 x 228.6
8401907-1,default,1U x 54.5 x 228.6
4401920-1,default,1U x 54.5 x 228.6
4401919-1,default,1U x 54.5 x 228.6
4401888-1,default,1U x 54.5 x 228.6
4401970-1,default,1U x 54.5 x 236.6
4401971-1,default,1U x 54.5 x 236.6
4402002-1,default,1U x 54.5 x 236.6
4402001-1,default,1U x 54.5 x 236.6
4401803-1,default,1U x 54.5 x 321.5
4401802-1,default,1U x 54.5 x 321.5
4401792-2,default,1U x 54.5 x 321.5
4401801-1,default,1U x 54.5 x 321.5
4401828-1,default,1U x 54.5 x 321.5
4401851-1,default,1U x 54.5 x 321.5
4401853-1,default,1U x 54.5 x 321.5
4401852-1,default,1U x 54.5 x 321.5
4401891-2,default,1U x 54.5 x 321.5
4401893-2,default,1U x 54.5 x 321.5
4401895-2,default,1U x 54.5 x 321.5
4401892-2,default,1U x 54.5 x 321.5
4401894-2,default,1U x 54.5 x 321.5
4401900-1,default,1U x 54.5 x 321.5
4401897-1,default,1U x 54.5 x 321.5
4401903-1,default,1U x 54.5 x 321.5
4401901-1,default,1U x 54.5 x 321.5
4401898-1,default,1U x 54.5 x 321.5
4405004-1,default,1U x 54.5 x 321.5
4401966-1,default,1U x 54.5 x 321.5
4401959-1,default,1U x 54.5 x 321.5
4401958-1,default,1U x 54.5 x 321.5
4401965-1,default,1U x 54.5 x 321.5
4401967-1,default,1U x 54.5 x 321.5
4401960-1,default,1U x 54.5 x 321.5
8801749,default,1U x 81.30 x 279.40
4401731-3,default,1U x 81.30 x 279.40
8801737,default,1U x 81.30 x 279.40
8801735,default,1U x 81.30 x 279.40
8801736,default,1U x 81.30 x 279.40
8801734,default,1U x 81.30 x 279.40
8801730,default,1U x 81.30 x 279.40
8401804,default,1U x 81.30 x 279.40
4401842-1,default,1U x 81.30 x 279.40
4401820-1,default,1U x 81.30 x 279.40
4401809-1,default,1U x 81.30 x 279.40
